artist,attack,cardClass,collectible,cost,dbfId,flavor,health,id,name,playerClass,rarity,referencedTags/0,set,text,type,mechanics/0,howToEarnGolden,race,howToEarn,playRequirements/REQ_MINION_TARGET,playRequirements/REQ_TARGET_MIN_ATTACK,playRequirements/REQ_TARGET_TO_PLAY,mechanics/1,targetingArrowText,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MAX_ATTACK,elite,faction,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,playRequirements/REQ_TARGET_WITH_DEATHRATTLE,playRequirements/REQ_TARGET_WITH_RACE,durability,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,overload,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,entourage/0,entourage/1,entourage/2,entourage/3,entourage/4,entourage/5,entourage/6,entourage/7,entourage/8,entourage/9,spellDamage,classes/0,classes/1,classes/2,multiClassGroup,playRequirements/REQ_STEALTHED_TARGET,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_FROZEN_TARGET,referencedTags/1,collectionText,playRequirements/REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT,mechanics/2,mechanics/3,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_MUST_TARGET_TAUNTER,playRequirements/REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,referencedTags/2
Jim Nelson,1,NEUTRAL,true,3,41418,"If you won't come to the tar pits, we'll bring them to you!",5,UNG_928,Tar Creeper,NEUTRAL,COMMON,,UNGORO,"<b>Taunt</b>
Has +2 Attack during your opponent's turn.",MINION,TAUNT,,ELEMENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Gibbons,,PRIEST,true,4,220,"You can rationalize it all you want, it's still a mean thing to do.",,EX1_334,Shadow Madness,PRIEST,RARE,,EXPERT1,Gain control of an enemy minion with 3 or less Attack until end of turn.,SPELL,,,,,0,,0,,,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Scott,2,NEUTRAL,true,4,736,"He's a legend among murlocs.  ""Mrghllghghllghg!"", they say.",4,EX1_062,Old Murk-Eye,NEUTRAL,LEGENDARY,,HOF,<b>Charge</b>. Has +1 Attack for each other Murloc on the battlefield.,MINION,CHARGE,Unlocked when you have all the Golden Murlocs from the Expert and Basic Sets.,MURLOC,Unlocked when you have all the Murlocs from the Classic Set.,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Nelson,5,NEUTRAL,true,7,38533,"They say that ""grotesque is in the eye of the beholder,"" but that's just because they've never seen a Grotesque Dragonhawk. Yikes!",5,OG_152,Grotesque Dragonhawk,NEUTRAL,COMMON,,OG,<b>Windfury</b>,MINION,WINDFURY,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Horley Orlandelli,,PALADIN,true,1,40371,"One of the most famous busts in Gadgetzan’s history happened on Smuggler’s Run, where Sergeant Sally apprehended a cadre of Grimy Goons transporting a massive number of illegal fish heads.",,CFM_305,Smuggler's Run,PALADIN,COMMON,,GANGS,Give all minions in your hand +1/+1.,SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Nelson,,PALADIN,true,1,2648,Competition can be an inspiration to improve oneself.  Or kill all the competitors.,,AT_073,Competitive Spirit,PALADIN,RARE,,TGT,"<b>Secret:</b> When your turn starts, give your minions +1/+1.",SPELL,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Cavotta,5,NEUTRAL,true,5,1140,You can hire him... until someone offers him enough gold to turn on you.,4,CS2_187,Booty Bay Bodyguard,NEUTRAL,FREE,,CORE,<b>Taunt</b>,MINION,TAUNT,Unlocked at Shaman Level 55.,,,,,,,,,,,,HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Jones,,PALADIN,true,5,2274,"Each year, folk gather in front of Blackrock Mountain to mourn those who were mind-controlled into the lava.",,BRM_001,Solemn Vigil,PALADIN,COMMON,,BRM,Draw 2 cards. Costs (1) less for each minion that died this turn.,SPELL,,"Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",,"Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Gimaldinov,2,MAGE,true,4,38412,He prefers that you refer to him by his nickname: 'Frostwaker.',4,OG_085,Demented Frostcaller,MAGE,RARE,FREEZE,OG,"After you cast a spell, <b>Freeze</b> a random enemy.",MINION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Kang,5,NEUTRAL,true,4,186,Most pandaren say his brew tastes like yak.  But apparently that's a compliment.,4,EX1_057,Ancient Brewmaster,NEUTRAL,COMMON,,EXPERT1,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,MINION,BATTLECRY,,,,0,,,,Return a minion to your hand.,,,,,ALLIANCE,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Lau,2,DRUID,true,3,2292,Druids who fought too long in Northrend were easily seduced by Ragnaros; a mug of hot chocolate was generally all it took.,2,BRM_010,Druid of the Flame,DRUID,COMMON,,BRM,<b>Choose One -</b> Transform into a 5/2 minion; or a 2/5 minion.,MINION,CHOOSE_ONE,"Crafting unlocked in Molten Core, in the Blackrock Mountain adventure.",,"Unlocked in Molten Core, in the Blackrock Mountain adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Scott,5,NEUTRAL,true,6,424,"If she threatens to ""moon"" you, it's not what you think.",4,EX1_583,Priestess of Elune,NEUTRAL,COMMON,,EXPERT1,<b>Battlecry:</b> Restore 4 Health to your hero.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Swanland,6,WARRIOR,true,6,2024,"The Iron Juggernaut guards Orgrimmar and has just earned the ""Employee of the Month"" award!",5,GVG_056,Iron Juggernaut,WARRIOR,LEGENDARY,,GVG,"<b>Battlecry:</b> Shuffle a Mine into your opponent's deck. When drawn, it explodes for 10 damage.",MINION,BATTLECRY,,MECHANICAL,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Nazzaro,3,NEUTRAL,true,3,41683,Three time winner of the Un'Goro weapon eating contest.,3,UNG_946,Gluttonous Ooze,NEUTRAL,EPIC,,UNGORO,<b>Battlecry:</b> Destroy your opponent's weapon and gain Armor equal to its Attack.,MINION,BATTLECRY,,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Ejsing,2,NEUTRAL,true,2,2517,"He'll never admit it, but he pushes you hard because he really cares about you.",3,AT_080,Garrison Commander,NEUTRAL,EPIC,,TGT,You can use your Hero Power twice a turn.,MINION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chanchai Luechaiwattanasopon,,ROGUE,true,2,41207,"The result of a fundamental misunderstanding of the phrase ""flower power"".",,UNG_057,Razorpetal Volley,ROGUE,COMMON,,UNGORO,Add two Razorpetals to your hand that deal 1 damage.,SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jomaro Kindred,6,NEUTRAL,true,6,2736,It's like putting racing stripes and a giant spoiler on your hero power.,3,AT_132,Justicar Trueheart,NEUTRAL,LEGENDARY,,TGT,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,MINION,BATTLECRY,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean McNally,3,SHAMAN,true,5,2615,"Allowing totems to attack is not cheating.  I mean, there isn't anything in the rule books about it.",6,AT_049,Thunder Bluff Valiant,SHAMAN,RARE,,TGT,<b>Inspire:</b> Give your Totems +2 Attack.,MINION,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Lullabi & K. Turovec,3,HUNTER,true,2,41358,Wasn't clever enough to go AROUND the electric fence.,2,UNG_915,Crackling Razormaw,HUNTER,COMMON,ADAPT,UNGORO,<b>Battlecry:</b> <b>Adapt</b> a friendly Beast.,MINION,BATTLECRY,,BEAST,,0,,,,,,,,,,0,,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlene Le Scanff,,PRIEST,true,6,40938,No one was brave enough to fire the dragon in person… so they made the potion do it.,,CFM_662,Dragonfire Potion,PRIEST,EPIC,,GANGS,"[x]Deal $5 damage to all
minions except Dragons.",SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Lyon,2,NEUTRAL,true,3,2581,"Good fencers make good neighbors, right?",2,AT_115,Fencing Coach,NEUTRAL,RARE,,TGT,"<b>Battlecry:</b> The next time you use your Hero Power, it costs (2) less.",MINION,BATTLECRY,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Scott,2,PRIEST,true,2,2040,"Punching is its primary function. Also, its secondary function.",3,GVG_072,Shadowboxer,PRIEST,RARE,,GVG,"Whenever a character is healed, deal 1 damage to a random enemy.",MINION,,,MECHANICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Moeller,,DRUID,true,4,2785,Hey!  Moon!  Can I have some mana crystals?,,AT_043,Astral Communion,DRUID,EPIC,,TGT,Gain 10 Mana Crystals. Discard your hand.,SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Horley Orlandelli,5,WARRIOR,true,4,2753,Playing him also gets you into the Magnataur Beta.,3,AT_067,Magnataur Alpha,WARRIOR,EPIC,,TGT,"Also damages the minions next to whomever
he attacks.",MINION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Ordonez,1,NEUTRAL,true,1,158,She promises not to tell anyone about that thing you did last night with that one person.,2,EX1_080,Secretkeeper,NEUTRAL,RARE,SECRET,EXPERT1,"Whenever a <b>Secret</b> is played, gain +1/+1.",MINION,,,,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Elliot,1,ROGUE,true,2,41216,AKA Edwin VanLeaf.,1,UNG_063,Biteweed,ROGUE,EPIC,,UNGORO,<b>Combo:</b> Gain +1/+1 for each other card you've played this turn.,MINION,COMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Swanland,,DRUID,true,2,836,The talk around the Ratchet Inn is that this card is too good and should be a Legendary.,,EX1_154,Wrath,DRUID,COMMON,,EXPERT1,<b>Choose One -</b> Deal $3 damage to a minion; or $1 damage and draw a card.,SPELL,CHOOSE_ONE,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Allsop,,PRIEST,true,2,545,This spell blasts you directly in the MIND.,,DS1_233,Mind Blast,PRIEST,FREE,,CORE,Deal $5 damage to the enemy hero.,SPELL,,Unlocked at Level 15.,,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Siswanto,4,SHAMAN,true,7,41116,He and his friends just want to rock out.,4,UNG_208,Stone Sentinel,SHAMAN,EPIC,TAUNT,UNGORO,"<b>Battlecry:</b> If you played an Elemental last turn, summon two 2/3 Elementals with <b>Taunt</b>.",MINION,BATTLECRY,,ELEMENTAL,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richie Marella,2,NEUTRAL,true,2,41,Grunting is what his father did and his father before that.   It's more than just a job.,2,CS2_121,Frostwolf Grunt,NEUTRAL,FREE,,CORE,<b>Taunt</b>,MINION,TAUNT,Unlocked at Shaman Level 57.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Hanna,4,NEUTRAL,true,5,39269,"Just between us, if things get tight the Menagerie Magician position will probably be the first to go.",4,KAR_702,Menagerie Magician,NEUTRAL,COMMON,,KARA,"<b>Battlecry:</b> Give a random friendly Beast, Dragon, and Murloc +2/+2.",MINION,BATTLECRY,"Crafting unlocked in the Menagerie, in One Night in Karazhan.",,"Unlocked in the Menagerie, in One Night in Karazhan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Nelson,7,NEUTRAL,true,4,9107,"Don't blink!  Don't turn your back, don't look away, and DON'T BLINK.",7,LOE_107,Eerie Statue,NEUTRAL,RARE,,LOE,Can’t attack unless it’s the only minion in the battlefield.,MINION,,"Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Swanland,,PALADIN,true,8,594,A grammatically awkward life saver.,,EX1_354,Lay on Hands,PALADIN,EPIC,,EXPERT1,Restore #8 Health. Draw 3 cards.,SPELL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Wright,4,NEUTRAL,true,2,605,Why do its eyes seem to follow you as you walk by?,5,EX1_045,Ancient Watcher,NEUTRAL,RARE,,EXPERT1,Can't attack.,MINION,CANT_ATTACK,,,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltan & Gabor,,PALADIN,true,2,291,"If you are often bathed in Holy Light, you should consider wearing sunscreen.",,CS2_089,Holy Light,PALADIN,FREE,,CORE,Restore #6 Health.,SPELL,,Unlocked at Level 15.,,Unlocked at Level 1.,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Kang,2,ROGUE,true,1,2882,It could be worse.  It could be a Snake Pit.,1,LOE_010,Pit Snake,ROGUE,COMMON,,LOE,<b>Poisonous</b>,MINION,POISONOUS,"Crafting unlocked in The Ruined City, in the League of Explorers adventure.",BEAST,"Unlocked in The Ruined City, in the League of Explorers adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dany Orizio,3,NEUTRAL,true,3,41478,Lookout is a self-appointed title that's mostly an excuse to beat things up.,2,UNG_937,Primalfin Lookout,NEUTRAL,COMMON,DISCOVER,UNGORO,"<b>Battlecry:</b> If you control another Murloc, <b>Discover</b> a Murloc.",MINION,BATTLECRY,,MURLOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Byrne,3,HUNTER,true,2,40684,Still angry that the Gadgetzan Rager Club wouldn't accept him as a member.,2,CFM_338,Trogg Beastrager,HUNTER,RARE,,GANGS,<b>Battlecry:</b> Give a random Beast in your hand +1/+1.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Reynolds,4,WARRIOR,true,4,40568,"""You look like a Gadgetgun 3000-Mark IV man, am I right?""",3,CFM_754,Grimy Gadgeteer,WARRIOR,COMMON,,GANGS,"At the end of your turn, give a random minion in your hand +2/+2.",MINION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltan & Gabor,7,WARRIOR,true,7,810,Grommash Hellscream's famous axe.  Somehow this ended up in Prince Malchezaar's possession.  Quite the mystery!,,EX1_411,Gorehowl,WARRIOR,EPIC,,EXPERT1,Attacking a minion costs 1 Attack instead of 1 Durability.,WEAPON,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romain De Santi,,MAGE,true,7,1004,"When the ground is on fire, you should <i>not</i> stop, drop, and roll.",,CS2_032,Flamestrike,MAGE,FREE,,CORE,Deal $4 damage to all enemy minions.,SPELL,,Unlocked at Level 51.,,Unlocked at Level 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Liu,,DRUID,true,3,742,"What do they roar? Nobody can quite tell, but it sounds like ""Elephant Macho Breeze"".  It's probably not that, though.",,CS2_011,Savage Roar,DRUID,FREE,,CORE,Give your characters +2 Attack this turn.,SPELL,,Unlocked at Level 43.,,Unlocked at Level 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Kopinski,5,WARRIOR,true,5,304,No… actually you should fear the Reaper.,,CS2_112,Arcanite Reaper,WARRIOR,FREE,,CORE,,WEAPON,,Unlocked at Level 51.,,Unlocked at Level 10.,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik Hjelm,5,DRUID,true,7,920,"Go ahead, carve your initials in him.",5,NEW1_008,Ancient of Lore,DRUID,EPIC,,EXPERT1,<b>Choose One -</b> Draw a card; or Restore 5 Health.,MINION,CHOOSE_ONE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooth,2,NEUTRAL,true,3,339,"""Ready! Aim! Drink!""",2,CS2_141,Ironforge Rifleman,NEUTRAL,FREE,,CORE,<b>Battlecry:</b> Deal 1 damage.,MINION,BATTLECRY,Unlocked at Mage Level 55.,,,,,,,Deal 1 damage.,,,,,ALLIANCE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean O'Daniels,,PRIEST,true,4,1366,"It dispels buffs, powers, hopes, and dreams.",,EX1_626,Mass Dispel,PRIEST,RARE,,EXPERT1,<b>Silence</b> all enemy minions. Draw a card.,SPELL,SILENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Allsop,3,NEUTRAL,true,6,39210,"His favorites are classic tragedies like ""The Hobbit"" and ""Grendel"".",6,KAR_033,Book Wyrm,NEUTRAL,RARE,,KARA,"<b>Battlecry:</b> If you're holding a Dragon, destroy an enemy minion with 3 or less Attack.",MINION,BATTLECRY,"Crafting unlocked in the Spire, in One Night in Karazhan.",DRAGON,"Unlocked in the Spire, in One Night in Karazhan.",0,,,,,0,,3,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Widermann,2,MAGE,true,2,41153,What did you draw? Shhhh… it’s a secret.,3,UNG_020,Arcanologist,MAGE,COMMON,SECRET,UNGORO,<b>Battlecry:</b> Draw a <b>Secret</b> from your deck.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Kasper,2,NEUTRAL,true,2,739,He just wants a hug.   A sloppy... slimy... hug.,1,CS2_173,Bluegill Warrior,NEUTRAL,FREE,,CORE,<b>Charge</b>,MINION,CHARGE,Unlocked at Paladin Level 53.,MURLOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Magdalina,4,NEUTRAL,true,3,40921,"When Sergeant Sally shows up unexpectedly, DO NOT FLUSH YOUR MANA CRYSTALS DOWN THE TOILET.",3,CFM_655,Toxic Sewer Ooze,NEUTRAL,COMMON,,GANGS,<b>Battlecry:</b> Remove 1 Durability from your opponent's weapon.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Murphy,1,NEUTRAL,true,2,2577,"Lance Carrier is an obscure entry level position in orcish armies.  A mystery, since orcs don't generally use lances.",2,AT_084,Lance Carrier,NEUTRAL,COMMON,,TGT,<b>Battlecry:</b> Give a friendly minion +2 Attack.,MINION,BATTLECRY,,,,0,,,,Give +2 Attack.,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Lullabi & Nutchapol,2,NEUTRAL,true,3,39003,"Yeah, I think we can agree that killing the squirming tentacle first is a good idea.",4,OG_327,Squirming Tentacle,NEUTRAL,COMMON,,OG,<b>Taunt</b>,MINION,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
